iter	RMSE
0	0.01845012233
1	0.01734753712
2	0.01635031298
3	0.01546677458
4	0.01469665543
5	0.01398104142
6	0.01336308383
7	0.01280763137
8	0.0123086011
9	0.01186592412
10	0.01147135274
11	0.01111457327
12	0.01080771997
13	0.01051347267
14	0.01027800441
15	0.01005048216
16	0.009835439539
17	0.00965024728
18	0.009492524884
19	0.00933884245
20	0.00919101854
21	0.00905772115
22	0.008944099693
23	0.008828753575
24	0.008731665909
25	0.00863895846
26	0.008559387112
27	0.008480286586
28	0.008412482463
29	0.008348654462
30	0.008286147555
31	0.008233824206
32	0.008189178443
33	0.008134905721
34	0.008096625858
35	0.00805712064
36	0.008025742494
37	0.007994198549
38	0.007967440663
39	0.007933891036
40	0.007907124002
41	0.0078807017
42	0.007858584817
43	0.007839514144
44	0.007809541454
45	0.007788770505
46	0.007771968838
47	0.007758127757
48	0.00773825304
49	0.007725234232
50	0.007707906275
51	0.007675424516
52	0.007662809944
53	0.007645632902
54	0.007628126615
55	0.007615670509
56	0.007604652097
57	0.007594251423
58	0.007583622763
59	0.007572959688
60	0.007558750706
61	0.007547651349
62	0.0075418147
63	0.007528258942
64	0.00752162915
65	0.007508472754
66	0.00749566673
67	0.007479371776
68	0.00746804248
69	0.007457638812
70	0.007449437261
71	0.007438862334
72	0.007423369787
73	0.007416317944
74	0.007409501865
75	0.007397652891
76	0.007392677399
77	0.007384227195
78	0.007379661289
79	0.007367411056
80	0.007360877828
81	0.007348534488
82	0.007341029027
83	0.007334689742
84	0.007331806036
85	0.007328105833
86	0.007321441049
87	0.007315253609
88	0.00731114577
89	0.00730581394
90	0.007291637317
91	0.007284995961
92	0.007276058469
93	0.007268276324
94	0.00726284621
95	0.007259340119
96	0.007254503701
97	0.00725205234
98	0.007248031726
99	0.007242429957
100	0.007238512886
101	0.007232779635
102	0.007228202832
103	0.007221310632
104	0.007217611264
105	0.007214211913
106	0.007209494252
107	0.007206278347
108	0.00719937371
109	0.007194328376
110	0.007188269818
111	0.007185369358
112	0.007181053092
113	0.007177306786
114	0.007172844184
115	0.007169319081
116	0.007163382068
117	0.007158600053
118	0.007151644619
119	0.007144908638
120	0.007140381045
121	0.00713510705
122	0.007132226322
123	0.007125790193
124	0.007121174618
125	0.007118789967
126	0.007115915269
127	0.007113356473
128	0.007110990441
129	0.007107333103
130	0.007103167059
131	0.007101393112
132	0.007098043949
133	0.007093731217
134	0.007090138736
135	0.007086406056
136	0.007084039574
137	0.00707981879
138	0.007077200809
139	0.007073026398
140	0.007069872922
141	0.007069132828
142	0.007063284657
143	0.007059650606
144	0.007055425687
145	0.007051712012
146	0.00704993198
147	0.007047384815
148	0.007042894258
149	0.007040616842
150	0.00703836629
151	0.007036063858
152	0.007032734154
153	0.007031436203
154	0.007030179697
155	0.007028441242
156	0.007025472721
157	0.007021625473
158	0.007019752702
159	0.00701804945
160	0.007014423367
161	0.007011414239
162	0.007009053315
163	0.0070064453
164	0.007003052837
165	0.007001443435
166	0.006998706677
167	0.006997052174
168	0.006993586736
169	0.006991225305
170	0.00699046873
171	0.006988135022
172	0.006987080385
173	0.006984117563
174	0.006982835771
175	0.006979521702
176	0.006977892502
177	0.006975432489
178	0.006973241534
179	0.006971641795
180	0.006969814897
181	0.006967491241
182	0.00696571296
183	0.006964332542
184	0.006961568248
185	0.006957450135
186	0.006956575012
187	0.006955088572
188	0.006952248666
189	0.006950630642
190	0.006949077359
191	0.006947628107
192	0.006945908392
193	0.006944074254
194	0.006942763466
195	0.006940823145
196	0.006940014235
197	0.006938765652
198	0.006937333179
199	0.006933988951
200	0.006932414585
201	0.006929510561
202	0.006928201514
203	0.006926273373
204	0.006924821931
205	0.006922576365
206	0.006922029194
207	0.006920332243
208	0.00691874939
209	0.006917356404
210	0.006915607753
211	0.006913657822
212	0.00691214545
213	0.006910608788
214	0.006908454065
215	0.006906287094
216	0.006904893369
217	0.006903692
218	0.006902857237
219	0.006900597704
220	0.006899684834
221	0.006897548829
222	0.006895249447
223	0.006894722569
224	0.006893329372
225	0.006891526114
226	0.006890470184
227	0.006889371689
228	0.006887289141
229	0.006885629946
230	0.006884681959
231	0.006883520238
232	0.006882325114
233	0.006881065543
234	0.006879998983
235	0.006878687958
236	0.00687800716
237	0.00687655681
238	0.006874604312
239	0.00687289775
240	0.006871844922
241	0.006871201937
242	0.006868879193
243	0.006867356392
244	0.006865783203
245	0.006865381214
246	0.006863240979
247	0.006861394312
248	0.006859918175
249	0.006858449731
250	0.006857810499
251	0.006856753716
252	0.00685524288
253	0.006854123417
254	0.006852763636
255	0.006851626491
256	0.006851000713
257	0.0068500773
258	0.006848797154
259	0.006847173761
260	0.006846138467
261	0.006844967061
262	0.006843872713
263	0.006842990767
264	0.006841928705
265	0.006840721883
266	0.006840005514
267	0.006838783053
268	0.006838121963
269	0.006836318085
270	0.006834983284
271	0.006833727634
272	0.006832299652
273	0.006830996632
274	0.006830380538
275	0.006829185552
276	0.006827453089
277	0.006826489753
278	0.006824938957
279	0.006823973214
280	0.006822706732
281	0.006821204205
282	0.006820251771
283	0.006819686032
284	0.006818513017
285	0.006817347887
286	0.006816357496
287	0.006815276928
288	0.006814105815
289	0.006813343805
290	0.006812261503
291	0.006811298991
292	0.006810145393
293	0.006809584165
294	0.006808871448
295	0.006808085305
296	0.006806634545
297	0.00680587255
298	0.006805235648
299	0.006804093619
300	0.006803631088
301	0.006802429133
302	0.00680190866
